year,DAXClose
1987,1005.190002
1988,1146.976414159362
1989,1467.3013647679993
1990,1722.4128654354843
1991,1579.5072203750008
1992,1635.7727863027887
1993,1809.4571029523802
1994,2121.0652858253975
1995,2138.4978864023906
1996,2567.823405275998
1997,3720.7542812600004
1998,5020.409604741035
1999,5344.412302379449
2000,7126.754240759848
2001,5614.582716379443
2002,4178.809997810277
2003,3191.468027233205
2004,3981.060551622568
2005,4677.842340280156
2006,5887.437434894115
2007,7463.186071952379
2008,6216.742869937004
2009,5018.078934318899
2010,6190.216720578124
2011,6590.982109082031
2012,6841.333638885372
2013,8298.115147210316
2014,9533.85292273809
2015,10961.502223371543
