year,DOW_JONESClose
1986,1895.949951
1987,2277.5326067272727
1988,2061.4757306996053
1989,2510.3347177658716
1990,2679.4545821225297
1991,2929.036170418971
1992,3284.080356874016
1993,3524.9184531699616
1994,3794.222297813491
1995,4494.27638268254
1996,5739.626468685039
1997,7447.007625292487
1998,8630.764419801582
1999,10481.555222325394
2000,10729.377650698418
2001,10208.861954233866
2002,9214.85266697619
2003,9006.63666649603
2004,10315.512768960312
2005,10546.655533154757
2006,11409.779701565742
2007,13178.255380860557
2008,11244.062604284578
2009,8885.654698015867
2010,10668.58345734921
2011,11957.570002543649
2012,12965.31344146
2013,15009.522774841273
2014,16777.6909374008
2015,17587.088212365088
